"filename", "language", "TypeScript React", "TypeScript", "JSON", "JavaScript", "JSON with Comments", "Markdown", "HTML", "YAML", "comment", "blank", "total"
"/Users/heggria/github/Ark-survey-frontend/src/hooks/useLoadingGlobalData.tsx", "TypeScript React", 22, 0, 0, 0, 0, 0, 0, 0, 1, 5, 28
"/Users/heggria/github/Ark-survey-frontend/src/hooks/useOperateEditingTierList.tsx", "TypeScript React", 133, 0, 0, 0, 0, 0, 0, 0, 4, 17, 154
"/Users/heggria/github/Ark-survey-frontend/src/hooks/useWindowSize.tsx", "TypeScript React", 23, 0, 0, 0, 0, 0, 0, 0, 1, 6, 30
"/Users/heggria/github/Ark-survey-frontend/src/i18n/index.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 1, 3, 20
"/Users/heggria/github/Ark-survey-frontend/src/i18n/locales/en.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/heggria/github/Ark-survey-frontend/src/i18n/locales/ja.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/heggria/github/Ark-survey-frontend/src/i18n/locales/ko.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/heggria/github/Ark-survey-frontend/src/i18n/locales/zh-CN.json", "JSON", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 124
"/Users/heggria/github/Ark-survey-frontend/src/i18n/locales/zh-TW.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/heggria/github/Ark-survey-frontend/src/i18n/resources.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/heggria/github/Ark-survey-frontend/src/index.tsx", "TypeScript React", 15, 0, 0, 0, 0, 0, 0, 0, 8, 6, 29
"/Users/heggria/github/Ark-survey-frontend/src/pages/Home/LoadDataPaper/index.tsx", "TypeScript React", 77, 0, 0, 0, 0, 0, 0, 0, 24, 9, 110
"/Users/heggria/github/Ark-survey-frontend/src/pages/Home/index.tsx", "TypeScript React", 48, 0, 0, 0, 0, 0, 0, 0, 0, 3, 51
"/Users/heggria/github/Ark-survey-frontend/src/pages/NotFound/index.tsx", "TypeScript React", 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"/Users/heggria/github/Ark-survey-frontend/src/pages/TierList/CharListBox/components/CharList.tsx", "TypeScript React", 35, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"/Users/heggria/github/Ark-survey-frontend/src/pages/TierList/CharListBox/components/CharListItem.tsx", "TypeScript React", 66, 0, 0, 0, 0, 0, 0, 0, 0, 8, 74
"/Users/heggria/github/Ark-survey-frontend/src/pages/TierList/CharListBox/index.tsx", "TypeScript React", 67, 0, 0, 0, 0, 0, 0, 0, 0, 7, 74
"/Users/heggria/github/Ark-survey-frontend/src/pages/TierList/CharSelectBox/index.tsx", "TypeScript React", 43, 0, 0, 0, 0, 0, 0, 0, 0, 4, 47
"/Users/heggria/github/Ark-survey-frontend/src/pages/TierList/DraggableTierList/components/AddCharactersToTierPopover.tsx", "TypeScript React", 53, 0, 0, 0, 0, 0, 0, 0, 0, 4, 57
"/Users/heggria/github/Ark-survey-frontend/src/pages/TierList/DraggableTierList/components/AddTierPopover.tsx", "TypeScript React", 79, 0, 0, 0, 0, 0, 0, 0, 1, 8, 88
"/Users/heggria/github/Ark-survey-frontend/src/pages/TierList/DraggableTierList/components/DeleteTierPopover.tsx", "TypeScript React", 53, 0, 0, 0, 0, 0, 0, 0, 0, 5, 58
"/Users/heggria/github/Ark-survey-frontend/src/pages/TierList/DraggableTierList/components/EditTierPopover.tsx", "TypeScript React", 94, 0, 0, 0, 0, 0, 0, 0, 1, 6, 101
"/Users/heggria/github/Ark-survey-frontend/src/pages/TierList/DraggableTierList/components/ResetAllCharacterPopover.tsx", "TypeScript React", 37, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43
"/Users/heggria/github/Ark-survey-frontend/src/pages/TierList/DraggableTierList/components/TierBox.tsx", "TypeScript React", 144, 0, 0, 0, 0, 0, 0, 0, 3, 7, 154
"/Users/heggria/github/Ark-survey-frontend/src/pages/TierList/DraggableTierList/components/UploadPopover.tsx", "TypeScript React", 72, 0, 0, 0, 0, 0, 0, 0, 1, 6, 79
"/Users/heggria/github/Ark-survey-frontend/src/pages/TierList/DraggableTierList/index.tsx", "TypeScript React", 84, 0, 0, 0, 0, 0, 0, 0, 0, 8, 92
"/Users/heggria/github/Ark-survey-frontend/src/pages/TierList/TierListMainPage/Description.tsx", "TypeScript React", 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"/Users/heggria/github/Ark-survey-frontend/src/pages/TierList/TierListMainPage/index.tsx", "TypeScript React", 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/heggria/github/Ark-survey-frontend/src/pages/TierList/index.tsx", "TypeScript React", 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
