"filename", "language", "TypeScript React", "YAML", "TypeScript", "JSON", "JSON with Comments", "JavaScript", "Markdown", "HTML", "comment", "blank", "total"
"/Users/heggria/github/Ark-survey-frontend/src/pages/main-page/LoadDataPaper/index.tsx", "TypeScript React", 73, 0, 0, 0, 0, 0, 0, 0, 24, 9, 106
"/Users/heggria/github/Ark-survey-frontend/src/pages/main-page/index.tsx", "TypeScript React", 48, 0, 0, 0, 0, 0, 0, 0, 0, 3, 51
"/Users/heggria/github/Ark-survey-frontend/src/pages/not-found/index.tsx", "TypeScript React", 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"/Users/heggria/github/Ark-survey-frontend/src/pages/route.tsx", "TypeScript React", 32, 0, 0, 0, 0, 0, 0, 0, 1, 2, 35
"/Users/heggria/github/Ark-survey-frontend/src/pages/setting/components/LangSelect.tsx", "TypeScript React", 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/heggria/github/Ark-survey-frontend/src/pages/setting/components/MiniSwitch.tsx", "TypeScript React", 28, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"/Users/heggria/github/Ark-survey-frontend/src/pages/setting/components/NameDisplaySwitch.tsx", "TypeScript React", 33, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"/Users/heggria/github/Ark-survey-frontend/src/pages/setting/index.tsx", "TypeScript React", 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"/Users/heggria/github/Ark-survey-frontend/src/pages/statistics/components/CharStatisticBox/index.tsx", "TypeScript React", 61, 0, 0, 0, 0, 0, 0, 0, 0, 3, 64
"/Users/heggria/github/Ark-survey-frontend/src/pages/statistics/components/StatisticsInsidePage/index.tsx", "TypeScript React", 238, 0, 0, 0, 0, 0, 0, 0, 3, 10, 251
"/Users/heggria/github/Ark-survey-frontend/src/pages/statistics/components/StatisticsMainPage/Description.tsx", "TypeScript React", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/heggria/github/Ark-survey-frontend/src/pages/statistics/components/StatisticsMainPage/index.tsx", "TypeScript React", 180, 0, 0, 0, 0, 0, 0, 0, 1, 8, 189
"/Users/heggria/github/Ark-survey-frontend/src/pages/statistics/index.tsx", "TypeScript React", 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/heggria/github/Ark-survey-frontend/src/pages/tier-list/CharListBox/components/CharList.tsx", "TypeScript React", 35, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"/Users/heggria/github/Ark-survey-frontend/src/pages/tier-list/CharListBox/components/CharListItem.tsx", "TypeScript React", 66, 0, 0, 0, 0, 0, 0, 0, 0, 8, 74
"/Users/heggria/github/Ark-survey-frontend/src/pages/tier-list/CharListBox/index.tsx", "TypeScript React", 68, 0, 0, 0, 0, 0, 0, 0, 0, 7, 75
"/Users/heggria/github/Ark-survey-frontend/src/pages/tier-list/CharSelectBox/index.tsx", "TypeScript React", 45, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"/Users/heggria/github/Ark-survey-frontend/src/pages/tier-list/DraggableTierList/components/AddCharactersToTierPopover.tsx", "TypeScript React", 58, 0, 0, 0, 0, 0, 0, 0, 0, 4, 62
"/Users/heggria/github/Ark-survey-frontend/src/pages/tier-list/DraggableTierList/components/AddTierPopover.tsx", "TypeScript React", 80, 0, 0, 0, 0, 0, 0, 0, 1, 8, 89
"/Users/heggria/github/Ark-survey-frontend/src/pages/tier-list/DraggableTierList/components/DeleteTierPopover.tsx", "TypeScript React", 58, 0, 0, 0, 0, 0, 0, 0, 0, 5, 63
"/Users/heggria/github/Ark-survey-frontend/src/pages/tier-list/DraggableTierList/components/EditTierPopover.tsx", "TypeScript React", 90, 0, 0, 0, 0, 0, 0, 0, 1, 6, 97
"/Users/heggria/github/Ark-survey-frontend/src/pages/tier-list/DraggableTierList/components/ResetAllCharacterPopover.tsx", "TypeScript React", 41, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47
"/Users/heggria/github/Ark-survey-frontend/src/pages/tier-list/DraggableTierList/components/TierBox.tsx", "TypeScript React", 148, 0, 0, 0, 0, 0, 0, 0, 5, 7, 160
"/Users/heggria/github/Ark-survey-frontend/src/pages/tier-list/DraggableTierList/components/UploadPopover.tsx", "TypeScript React", 68, 0, 0, 0, 0, 0, 0, 0, 1, 6, 75
"/Users/heggria/github/Ark-survey-frontend/src/pages/tier-list/DraggableTierList/index.tsx", "TypeScript React", 83, 0, 0, 0, 0, 0, 0, 0, 0, 8, 91
"/Users/heggria/github/Ark-survey-frontend/src/pages/tier-list/TierListMainPage/Description.tsx", "TypeScript React", 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"/Users/heggria/github/Ark-survey-frontend/src/pages/tier-list/TierListMainPage/index.tsx", "TypeScript React", 162, 0, 0, 0, 0, 0, 0, 0, 1, 8, 171
"/Users/heggria/github/Ark-survey-frontend/src/pages/tier-list/index.tsx", "TypeScript React", 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"/Users/heggria/github/Ark-survey-frontend/src/registrationStatus.tsx", "TypeScript React", 67, 0, 0, 0, 0, 0, 0, 0, 3, 16, 86
"/Users/heggria/github/Ark-survey-frontend/src/reportWebVitals.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/heggria/github/Ark-survey-frontend/src/service-worker.ts", "TypeScript", 0, 0, 77, 0, 0, 0, 0, 0, 35, 15, 127
"/Users/heggria/github/Ark-survey-frontend/src/serviceWorkerRegistration.ts", "TypeScript", 0, 0, 96, 0, 0, 0, 0, 0, 31, 12, 139
"/Users/heggria/github/Ark-survey-frontend/src/store/index.tsx", "TypeScript React", 36, 0, 0, 0, 0, 0, 0, 0, 2, 9, 47
"/Users/heggria/github/Ark-survey-frontend/src/store/slice/TierListSlice.tsx", "TypeScript React", 95, 0, 0, 0, 0, 0, 0, 0, 1, 8, 104
"/Users/heggria/github/Ark-survey-frontend/src/store/slice/TierListStatisticsSlice.tsx", "TypeScript React", 33, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"/Users/heggria/github/Ark-survey-frontend/src/store/slice/charBoxSlice.tsx", "TypeScript React", 58, 0, 0, 0, 0, 0, 0, 0, 32, 6, 96
"/Users/heggria/github/Ark-survey-frontend/src/store/slice/characterSlice.tsx", "TypeScript React", 39, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"/Users/heggria/github/Ark-survey-frontend/src/store/slice/filterSlice.tsx", "TypeScript React", 54, 0, 0, 0, 0, 0, 0, 0, 8, 7, 69
"/Users/heggria/github/Ark-survey-frontend/src/store/slice/settingSlice.tsx", "TypeScript React", 28, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"/Users/heggria/github/Ark-survey-frontend/src/store/slice/tierListTypeSlice.tsx", "TypeScript React", 106, 0, 0, 0, 0, 0, 0, 0, 15, 5, 126
"/Users/heggria/github/Ark-survey-frontend/src/store/slice/userSlice.tsx", "TypeScript React", 90, 0, 0, 0, 0, 0, 0, 0, 0, 8, 98
"/Users/heggria/github/Ark-survey-frontend/src/theme/index.tsx", "TypeScript React", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/heggria/github/Ark-survey-frontend/src/utils/CaptureUtils.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/heggria/github/Ark-survey-frontend/src/utils/DownloadUtils.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/heggria/github/Ark-survey-frontend/src/utils/JSONLoadUtils.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 5, 39
"/Users/heggria/github/Ark-survey-frontend/src/utils/ObjectUtils.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"/Users/heggria/github/Ark-survey-frontend/src/utils/TreeUtils.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 1, 3, 46
"/Users/heggria/github/Ark-survey-frontend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"Total", "-", 6391, 12046, 332, 249, 22, 49, 74, 36, 303, 1916, 21418
